,ENFJ,ENFP,ENTJ,ENTP,ESFJ,ESFP,ESTJ,ESTP,INFJ,INFP,INTJ,INTP,ISFJ,ISFP,ISTJ,ISTP
224,"Ironically, a few hours after I posted how well I get to sleep, it took me like an hour laying in bed to do so. I guess this forum is just too exciting.",Oy vey       x2  EDIT: x3 now  This is just getting kind of sad now Spaura.,"But hang on, you can't blame other people for this treatment.   If I understand correctly, you present a friendly and authentic image, that neither represents your true self nor true intentions...","Thanks so much for the feedback!  I'm going to go for it.  At least I'll know there aren't any lingering questions before we go our separate ways, and I'll be able to move on without regrets.","Before knowing anything about MBTI, I had an INTP boyfriend. We got along fine mostly because we had fun, and could joke about the same things. Only problem was, he hurt my feelings all the time. I...","I don't like being told what to do, so no.",£12K a year. Have you actually checked the website?  Here let me do that for you for some upto date info:    That is info as of now. Not sure where you are hearing what your hearing. ...,not with his FEET when he RUNS,IxFP 4w3,You are probably right. I should just do what I can do and feel more confident about it. It takes time for everyone to grow up from experiences but we all get there at some point. Thanks for that :),I'm quite ignorant when it comes to whatever issues I may have this includes being sick. I somehow feel I'm above everything that should hurt me and nothing can possibly take me down. Of course then...,"those tests are very blatantly flawed, and anyone who's read jung should see this just by reading the questions and related function. Stop being lazy when you see an inconsistence. Don't alter the...",'Would someone who isn't happy have an avatar like this?!  I think the stereotypical high school guidance counselor advice is most apt for INFPs:  do what you would do for free.  It's incredibly...,who doesn't luv those ESFPs? :laughing: but they can be exhausting.,"Would you consider writing a hobby of yours?  If yes, when did you first take an interest in writing?  What sort of things do you enjoy writing the most?  What sort of characters do you prefer to...","I still have an 8 inch plate with 6 screwed in it. If I did break that bone again, it would probably punch through the skin this time. And I don't need stronger bones to tackle sharks. Sharks are..."
225,I love taking tiny little flower petals and giving it to slugs that I come across. They are so majestic. They deserve it for being underrated by humans who prefer snails.,Oy vey,"Not really, at least not in the sense that I think people usually mean when they say miss.  I get lonely if I haven't been interacting with people very much, but I don't typically have any...","No Arioche, we haven't had a really good conversation about this at all.  I'll admit I've been confusing as well, so I'm sure that hasn't helped.  I've never come out and said what I want either. ...","I do that too! :D I'm quite often online, though my impression is that ESFJs mostly are out with friends. My problem is, I'm not really that popular :P Also, my E and S are quite weak, even though...","I am supposed to be working, but checking emails and chatting on PCafe.","Where as I agree with you on creating a plan. The overall theme wasnt meant to be just money, sorry if it seemed that way. It can be anything, anything that has value.   For example if I trained to...",Let all things be done decently and in order. 1 Corinthians 14:40  That's right. 1 Corinthians 14:40 is telling people who are xxxP to be XXXJ,"Because they want others to see them as they seem themselves. My INFP friend sees herself as unique, special, different, talented...so she kinda enforces those ideals on others and a lot of people...","Hey everyone!  I am Linjo and I am new here. This is my first post. I am a guy and I found out recently that I was an INFP. As a man, I have been trying to figure out if it was a good thing....'",Scared? :laughing: No! :ninja: And of course I can feel stuff.,"It's simple. Do you want to die? A lot of people, due to the structure of our brains, don't wanna die. In order to most effectively preserve our lives, working together in a society is somewhat...","I get told this a lot too.  I suspect it's partially because my sense of humor is very deadpan, and people don't always realize when I'm joking.","hi i agree, i'm very P and i like to balance out with someone's J... if they're healthy and not controlling. And meeting an E is perfect cuz I like to listen and be inspired.  trying things out...","To be honest, marriage and children aren't anywhere in my life plan. I think there's a...fixation in society about 'needing' to have those things in order to lead a fulfilling and complete life. If I...",dafuq did I just read
226,An INTJ preferring acts of service? :0 I can't even,"I just realised the other day that it was march and that Summer is over and that Autumns began.   It's nice. I miss wearing a warm cosy scarf, nice oversized jumpers and pants and omg boots. I miss...","The most important part of masculinity is not giving a toss about what others think of you, and just getting on with your life.","I'm sorry if this is posted twice, but I can't tell if I deleted the first one.  So, when he made the comment I think it would be mean to spend time together if we're not going to be in a...","Math has always been my favorite subject. Probably because it was logical and therefore easy, and also it involves a lot of tidying up (equations and such) which I for some reason have always liked....",Riiight. I'm so scared!!,"I was exagerating a bit. What I was trying to drive at was if I was piss poor broke and a low IQ, nobody would ever want anything from me where as the more somebody accumulates of anything, the more...",Be patient and humble. that still would be an I not an E like the rest of us are!!,"I like them. Only type that doesn't feel the need to comment on my INFJ stare like I'm some sort of zoo animal.  I feel at ease in their presence, which is a huge plus. They don't demand too much...","'...Is it possible to stop caring about someone entirely?  Well I believe it's possible to stop caring about someone entirely.  If they never cross your mind anymore, then you'd never bother to...","Nothing against rational compromise. Criteria for a fair one would be that the compromise is equal for both sides, both should feel they made a fair trade so to say. Different people have different...",if you wanna alleviate yourself from a year of traveling through bullshit Classics in the History of Psychology -- Jung (1921/1923) Chapter 10  You listen behaviors. This is a cognitive theory....,"The upside:  I figure a lot of things out before other people.  Don't let the sensates fool you, they miss things all the time. The downside:  People think you're from another planet, crazy, or just...","Hi, I really liked what Mina said.   I noticed you had an impulse to ask your employee why weren't my instructions being followed...   I think it might work better just to ask her what happened...","My best friend is an ENFP, and we've never fought even once ^^ I find her to be warm, compassionate, and vivacious. By far, she is the most affectionate person I've ever met - though if we weren't so...",I didn't make it past page 1 before getting bored. I was hoping for some entertainment. Bummer.
227,Kindness,"just wanted to point out how seriously fucked up that is. spaura if this is true it's a serious form of harassment. All respect I have/had for you would be gone. Blackmailing someone, anyone, I...","I'm 99% percent sure my housemate is an ISFP. When I mentioned the notion of typing a person, he replied, thanks for pigeon-holing me.  To him, attempting to peg people with certain...",So when he made the comment it would be mean for us to spend time together if we're not going to have a relationship am I supposed to take that as I don't want to be in a relationship with you and...,"I can't answer your question. I don't know the types of all scientists, or even some for that matter. There may be none. That just doesn't prove anything in my opinion. Not being a genious does not...",Holy crap....I might reconsider:tongue:,"OK Im going to zoom in on thise. do you even know how SFE (Student Finance England) repayment works? Im not sure if your thinking about the American system. Ive just enrolled on Open University,...",yes pushy and have no friends..  that why you are here on PC  oh wait I think that applied to me as well,Carmelo Anthony seems pretty introverted to me and Russell Westbrook is not an ISTP.,"I don't think I fall in love easily.  However, I do get infatuated with people easily and fast :crazy: because I start to fantasize a lot after getting to know someone I'm interested in only after a...","Can't live without music. My first cassette (yes that was some time ago) had Nirvana on one side and Mozart on the other, I listened to it days and nights with my light blue Walkman :happy: After...",A development: 'Around 100 people killed at Paris Concern Hall',Ahem...  Did you read my post?  I ask this as a fellow ENFP with a horrible propensity for skimming things.  :-)  I absolutely agree that Hitler wasn't an NTJ.  I just don't agree with your reasons...,"wow, yu reminded me of some great shows like Simpsons & Southpark & well the list goes on...",What I do for exercise primarily depended on what sports were available each term at school. All through the year I have done taekwondo twice weekly. In Term 1 I additionally had badminton twice...,Except we're ISTPs not ESTPs. Similar but we hate people and think everyone is stupid.
228,"Legit I love these pants.   Mens Pants, Mens Trousers, Pants For Men | Bonobos  I don't want a money tree, just skip the middle man and someone give me a Bonobo Tree. <3",It's a Lana Del Rey singing sad songs on my stereo whilst I look out a window at the grey skies with a hot coffee breathing on me kinda day.,"ApolloNoUta Oops sorry! Not trying to attack you, that's just how I speak. Remember, I'm just a whale on the Internet, I don't actually know the first thing about you. My advice is more general...","Hi all. I'm and ENTP that failed at having a relationship with an ENFP. I think it was mostly because I didn't understand where he was coming from, which seems odd because we're technically cousins...'","To change your sentence slightly: Also please point out the SIGNIFICANT contributions to the intellectual fields (look at Newton (INTJ) and Einstein (INTP)) YOU've made, to confirm the idea that YOU...",so demanding...I don't respond well to demanding. I'll answer it when I want to :tongue:,"LOl, I would say it was built on Football, but Im not a football follower. Although I guess Id be West Ham if I was. But no Im not a southerner that has nothing to do with location.",that too funny  he need to look at thing differnetly,Dear ISTP You amaze me by being one of the few people who don't buy into my xNFP's fake dramatics and desperate need for attention. Since the rest of the human population seem to fall at her feet....,Yeah maybe so :) ENFJ does fit her.  I'm not sure how to describe it but I just felt an instant connection when I met her (maybe the NF thing) because of how friendly and genuine she came across. ...,View photos on a computer in secret https://scontent-a.xx.fbcdn.net/hphotos-ash2/v/t1.0-9/548932_10151520239861141_811356832_n.jpg?oh=cb487b288395f8634c9b5721cdc50436&oe=54C8EC5D ...,"You went on a rant about how typology is about the thought process that influences the behavior, not the behavior, then linked socionics descriptions that literally point out behaviors in every...","You're probably right.  The saying Greed is Good sounds a lot like naive, inferior introverted feeling.  In fact, I don't know that I agree with most of the examples I made in my previous post...","Hi, I just watched American Idol. I love that it's a contest and a spectacle about music. And the set design (lights and background) really appeals to me, too.   I mostly like comedies, currently...",...when your self-discipline absolutely crumbles at the sight of chocolate XD,"You need to smile more  Shut up, I do not. I only smile when I feel like it and having to put up with your idiocy does not make me want to smile."
229,"Perhaps hes a someone with Te? Just a guess, though I'm still beginning to grasp all that MBTI really entails.     I'm glad to hear this :). With enough positive reinforcement and support from...",Sun Bear was the user with the gorillaz avatar known as Xrx? Could it be true...  The world makes sense now.   Jk it never will.,"Scientists in the beginning Apollo program knew that, strictly speaking, the classical/Newtonian model of physics is wrong (see: relativity) yet they still used it and successfully landed a spaceship...","INFPs care about authenticity, not INFJs. Are you certain you're an INFJ? INFJs have Fe, not Fi, and Ni in no way makes you care about autheticity. An INFJ would see it as selfless to change yourself...",I do not have to stroll the Internet for an ESFJ genius to reject the statement of ESFJs being stupid. It doesn't matter. You are not smart just because Newton shared your personality type. I wish...,"So would I have sex with the fireman who wants to do it doggy style or would I have sex with the person above me, as in you?","UK just seems to echo whatever happens in America, its annoying. But guess its part of our special relationship. If it happens in America, its sure to follow in the UK.  As for refugee's, thats the...","Does ESTP like to get to the point and not beat around the bushes.   For example, I went to this friend house I would see all those details that needs to be fix and started to point them out.....",That's usually what Fe dom teachers do. I had an ESFJ politics teacher who was just like that.  Example: the whole class took a test. She decides to do the whole peer test correct thing...we expect...,umm I don't think you're being foolish or immature.  You have good reasons for thinking that way especially if you feel like it would really affect how you feel about yourself plus you'd be lying to...,Quite long but worth it I think: Email exchange between parent and school chaplain.,"ISTPs, give complete reasons.",There's a perennial debate that I have with my ISFP boyfriend.  I'm always excited every time I see a show about black holes.  I find the concept so fascinating.  My boyfriend's response?  We don't...,That was super nice of you to post this. I like how the article had great examples of actual positive things to do. :happy:,"I'm in my final year of high school, and I'm taking:  - Advanced English (+ Extensions 1 & 2) - Mathematics - Chemistry - Japanese Continuers - Legal Studies  Currently I'm looking at...",I broke my leg and tore my interior ankle ligament last November. I broke my tib/fib back playing football my Freshman year of high school. I broke my right thumb a couple years back and played 3...
230,"ESTP: Be more like me  (in other words)-- meaning that I should be more Se. Well, there's definitely good reason in it. Being more like him would be quite balancing for my psyche ^^",Who the fuck doesn't know who Cyndi Lauper is?!,"I agree 100% Unfortunately, it also means that one has many more opportunities for exploitation, and the barrier to entry is also lower. As the MPAA is well aware, millions of honest folks...","If you're so sensitive about your identity, you're Fi, not Fe.","Are INTPs in general extremely judgemental and generalising, or is that just you as an individual? I am sure you don't know the type of every person you meet, and when you meet someone you see as...",I am not an INTP but I feel I can relate to a lot of what you are saying...so I don't think it's just an INTP thing that you are prone to anxiety and depression. I don't believe that is based on...,"I dunno, personally I live in Britain. Sure its not as traditional as it was. But there is still some thing about the country. Once it loses its traditions, its just another bit of land with some...",he was trying to act like me. he pointed to the table and had this expression I need it NOW...,No. He's a male.,"cats are soo cuute :laughing: .. I grew up with one as a child, but I don't have one anymore.  But I like them.  I like dogs too though.  erm anything cute, furry, and cuddly  lol.  I love hugging my...",You might be onto something here :laughing:,"well I live in new york, a calm part. In my recent experience if you show complete confidence and look at them directly in the eye while being condescending they'll flock off and cry.","Absolutely not.  ESTPs are made out of guns, steel, and can-do attitudes.  Their dominant function is Extraverted Mister T with auxiliary Introverted Chuck Norris.  ESTPs are genetically incapable of...","other places they might be: jail, tattoo parlor, parachuting into forest fires...  :laughing:",Agreed. Crying I see as an indication that an individual has been placed  in a situation they are incapable of objectively managing. It would be  understandable if they had suffered from anything as...,"I don't have birthday parties any more for this very reason. If someone wants to give me a present, I can open it in the privacy of my home with no one around. So much nicer."
231,"Well, I am not the oldest nor most mature INFJ here, but what it took for me was a finding that one supportive friend. I didn't quite fit in in my primary school days because a lot of the other...","My friend send me this:  http://i65.tinypic.com/ka4syd.jpg  As I was ranting about how I really have to continue to do well in math because as much as I hate it, it's currently my best subject....","Forgive, I've only read back a few pages but I'm going to add a different perspective.    Nope. Precisely because ENFJs command such a strong influence over so many around them, they are...",Billie Joe is an INFJ 4.,"Thank you for answering me! And sorry I'm so late at responding to your much appreciated answers:)  He might be INTP, ISTP or ISFP as you have suggested. I thought maybe ISFPs had better eyes for...",hahahaha I completely agree with you on this.  I last ate a chocolate fudge brownie...very tasty but not very satisfying. I'm quite hungry still.,Shahada and Red Morfy  I bet the political pillow talk would be rivetting.,I would feel better if I knew what your type is.. my point is preacher FORCiING people to be INFJ   you do have great point there..,"Dear ISTPs  Thanks for being the only type (so far) that isn't intimidated, offended, or curious about my INFJ stare. I mean you got a pretty intense stare yourself but thanks for not being a pest...","I've actually had this happen to me before.  When I attended a new class for the new semester, a girl sat next to me and started chatting with me. Awhile later she suddenly revealed to me how she...","When somebody who I respect and see as level above me intelligence wise tells me job well done then it means more to me than 10 non-experts saying omg, u r the best ever... even if they are...","I'd imagine that the prevailing sterotype is that TJ's, STJ's moreso, are right-winged.",I love technology.  I'm a programmer after all.,"Hi Laly, those ISTPs are out breaking and fixing their bikes and surfboards and whatnot. They like action with a hint of danger.  :wink:","To create clones of Bowser O_o  All I can say is, thank goodness it wasn't clones of Edward Cullen.","Simple. Time. Respect is given, trust is earned. You have to earn my trust. You have to do things that show me I can trust you. Words are cheap, actions speak volumes. I give trust based on the..."
232,Your M matches mine. Kind of. 5/10 :3,https://www.youtube.com/watch?v=5XUHlSWG92I&feature=youtu.be,You have to break from the habits you already have which distract and lead to slacking off.  Habits go hand in hand with triggers: the area you probably use to write is also likely where you waste...,My intiition is telling me ISFP but I could be wrong.,"So, I have great trouble identifying my fathers personality. He took a test giving him XSFP, but taking a cognitive functions test the most dominant functions were Fe Ni Te Se (and then Ti Si Fi Ne)...",Not if they wanted to do doggy style.,"True, but if the West hadnt done it, someone else would.  The problem with the West is that it is a victim of its own success. If it was some 3rd World Shit Hole, where people chucked spears at...",so how can non- ISTJ deal with this?,"ISTPs develop a secret crush on me and when I find out I'm just like, what? Meeee??!!!! Noooo!!!! But he never speaks to me. Lol they're so good at hiding it. I'm use to dudes who are like:...","I'd really like to befriend a ISFP.. they seem really nice, sweet, creative and cool!  I had a teacher who I think was an ENFJ during one of my college lectures.. she made the subject so much more...",Makes me laugh cos I can relate and if I can't relate then I can easily imagine the situation. Sometimes in a perfectly serious situation I get these ridiculous bursts of laughter internally cos  for...,The feeling function in jung is that which identifies wants. The thinking function in jung identifies true/false. Of course identifying true/false is the means by which we develop values and...,"This is inferior Si rearing its ugly head.  When I'm alone, my inferior Si starts complaining to me about all the details in my life I'm missing, about how little attention I pay to things, and...","Hi, i like your style. yes everybody needs fun people :happy:","Even if I don't know all that much about a topic, I actually can find most subjects interesting provided the other person knows what they're talking about and I can learn from them about it. But the...","For me it isn't nervousness at all, it is more that I just need to be doing something. It translates into me getting bored and doing something to keep me from going insane."
233,Most people doodle. I doodle WORDS. Not doodles. Words. Crazy stuff. I should probably be submitted to the loony bin.   *insert Leave me alone - Alexander Rybak music video link*  (5 more posts...,It is a white cancer stick  Yet the smell is oddly comforting  Although it professes danger  A mouldy foot or rotting tongue  Rattle lungs for children to play  With wheezing breath. I do not...,"One (ha!) minor correction, though it might be an issue of language more than meaning:    I don't have any concept of a deep-seated kernel to a person, good or bad. Actions are a complex mix of...",Nick- INFJ? Juliette- INFJ Monroe- ISFJ? Could be INFP even? Bud- ISFJ? Adalind- ESFP Kelly- ESTJ Angelina- Not ENTP. I don't know about her. That's all I've got for now.,"Now I feel more confused than ever. Which personality types should I look more into? Or could I actually be any, from all the things I've written? Maybe I have NO personality :P",I think that seems kind of degrading. Sorry :-/,Double post,222266,Katherine - INFJ  Vincent - ISTP  Heather - ENFx  Nina - ExTJ  TJ - ???,I often wonder what my istj friend thinks of me :crazy: he's so hard to read..  I have this ISTJ friend that I talk to online (known each other about more than a year now?)..  I Want to be there for...,Sounds legitimate!,Each one of them at some point except 7.,"One thing I'm really beginning to notice is that I have much better work/life balance than most of my coworkers.  In particular, Ti/Fe types seem to have horrid work/life balance.  Sometimes I sense...","Hiya inebriato, Gee, now that you said you wanted some... I actually want some diet Red Bull & I'm out. Another energy drink i like a lot is diet Rock Star... it tastes like cotton candy.   Y'know,...'","Woah, seems taekwondo is quite popular :]   When I was a kid I took Judo classes (and was the only girl in them), which focuses on throwing and holding an opponent rather than kicking and punching....","The only time I am not fidgeting is when I am totally engrossed in something. Those times are rare, so yeah I fidget all the time."
234,"Like I've said. Perhaps it's easier to turn the mental to-do list off if you get it out of your head, and onto a piece of paper :)","No. You must grow like the pancaketreehouse!   Questionable stability, violating every law of architecture but god damn delicious and fluffy.   No questions.","Acknowledging that I'm bringing criticism into the ENFP, but I think this is a hopeless selfish way of thinking:     and dare I say that if you maintain these sorts of ideas unquestioningly...","I sometimes have trouble with that too. Are you an enneagram 8? A lot of 8's have this problem.  You can't look at letters, you have to look at the functions. Do you think you use Te or Si more? ...","Thank you so much, Grim! I think I am more externally focused, but I will try to be more aware of that in future situations. I have just bought my first apartment and cannot wait to have my friends...",My boyfriend is an ISTP :-). Also the happiest most up beat and peppy person I know is an ENTJ.,"OK Im about to add you to my ignore last as you keep coming back like a bad coin.  Anyway Im going to put it simply, neither me, you or  pilgrim_12 (quite possibly, cant say for sure) are going to...",now I understand more of where I m coming from so I should be done with this and let it go...  FEELING sorry for my sin  does not work for me so bye bye church doctrines .,"Dear ISTP,   Good god do I have the hots of hots for you...if you only knew the clusterfuck of a situation I've been in. Your friend told me that you had...expressed your attraction to me BUT it...",One time I studied with someone.. and she recopied notes to remember what we learned in class.(like 5 full pages worth) :confused: I found that very strange because I didn't get how recopying notes...,Logical enough.   https://www.youtube.com/watch?v=MDpyS2HN5SA,"isfp  If you end up telling us what your type is, and it's not ISFP, tell me why you disagree with isfp.","When it comes to routine, it sometimes seems like my brain is like a house with bad electricity where turning one light on means another one somewhere else goes off.  This would be ok, but it...",I have a friend who is a type 7 but is chronically at unhealthy levels and disintegrating to type 1. Me and my friends thought he was a type 1 since he calls himself a perfectionist and keeps a tight...,"I actually went extremely health-conscious a while back, and am probably going to do it again when I start university. The only fast food that I ever really eat comes from McDonalds or occasionally...","What do I like about myself? Besides the fact I am totally awesome at doing stuff, I'm freaking hilarious."
235,"I usually fall asleep the easiest when I am tired. This happens when I have exhausted myself using too much Fe.   If my mind is racing at night time, I get off the computer and try to do something...",Regretting all of my life's decisions.   Hey pancaketreehouse please don't. If you do I will call ur mother. So don't.,"Immna push this one step further.  ApolloNoUta re-read your post, and notice how you've painted your mother as basically unstable, spiteful and vindictive? She gets angry over nothing! She singles...",The tertiary function is developed decently enough. The inferior function is used in bursts because it's hard to control. You're either a mistyped ISTJ or you're not adept at analyzing yourself.,Grim Maybe you have a comment too? I heard you were good at this:),Thank you. Asian? Hm never got that before. I have gotten Mediterranean though. I am Colombian.,"Dont bother asking, just enter the house and take everything, their food, their clothes, their motorcycle.  Then kit out their entire house with camp beds, and move in a load of immigrants. Sell...",follow up on this here  http://personalitycafe.com/whats-my-personality-type/378610-following-bible-type.html#post12070562  thanks,Some sort of ISxx?,">.>; I keep questioning what religion I actually am lol.. still a bit confused as to what accurately represents what I think..    anyways, I'm an INFP   and I think what Best fits me is...",You may want to check this thread out :happy: Looks like we're lazy as hell. But I guess that's one of the reasons we're also efficient or it looks like we are. For example it is so very hard for me...,Do Fi-doms just camp this forum?,An ENFP would use Fi in a more parental manner as opposed to it popping up every once in a while to cause trouble.    Ahem...  The purpose of this type thing is for you to learn about yourself. ...,"When things get bottled up and stress levels rise, I get overwhelmed. I can't take it or do it. I have to over concentrate to get things done and get hypersensitive to the point where I snap....","Aw, thank you! ^w^ I did miss everyone here so it's rather exciting to return!","Hey now, what's wrong with a little bit of house cleaning while you are stuck in traffic? :)"
236,"Well, as for one, I am extremely attracted to Outgoing personalities, especially ones who are charismatic and friendly. I happen to be in a relationship right now with an ESTP. He really likes doing...",https://daks2k3a4ib2z.cloudfront.net/575a31d2ce5d01dc7a20de4a/57690c200f88361e2da02bff_no%20gif.gif,"If you're going to go down the dictionary route, let's look for example, at the first result I get on google for 'character':    Interesting how many words it takes to try and pin down the...",Lol. What subjects that aren't taught do you wish were taught?,"That's very true. Bad traits often come with good, though, and ESFJs are good to be around when you go through something sad and difficult. No judgement, only comfort. :)",bahahaha!,"If you earn and make money, people start to want it. If you have free time, people start to tell you how you should be spending it. If you collaberate with others of your choosing and create...",Just found this   http://personalitycafe.com/estp-forum-doers/43933-religion-estp-4.html  thanks..,"Lol that reminds me of time when an ENFP boy wanted to talk to me on the phone at 11 o'clock pm. I was like, WTF? I am not gonna have a phone convo this late in the night especially when I hate...","welll I think my brother is a NT... I guess he is smart in general and when he wants to be.  He can go to lectures, skip or not really pay attention and slacks off. But when he gets serious and aims...",Sustaining any kind of routine without some sort of visible end point is quite challenging I've found. But I do have a strong drive in me to deliver (probably just to prove myself I'm able to do it)...,The entj's will isn't bound by such pathetic forces such as drowning. The strong entj commands water to move!,"It definitely sounds like you're using Fi, but not like an ENFP would.  Plus, the way you describe using Fe is almost a textbook description of how the tertiary function tends to work.  Perhaps I...","I send you a cyber {{{{hug}}} I think you need one. Hang in there, you will get through this all and you are strong. Don't worry too much about this limerence thing. I personally think it is...",I was remembered? XD *feels cool*  Thank you though! I was caught up in exams so went on a bit of a self-imposed ban on recreational computer use ^^ It's great to be back!,Lies. I am teh awesome so I win.
237,OH MY GLOB. You understood what I was referring to with that Beefy comment. I think we could be wonderful friends. Thanks for clarifying about type too.   Are you a Mexican food fan?,This Pewdiepie being a Nazi thing is hilarious. It's also pretty upsetting because it reveals the poor state of the media and journalism right now. Not to mention companies are refusing to work for...,"Falling back on your tertiary (Te -> Se for ENTJ) when under stress is completely in line with MBTI theory. See how I worded the idea previously here.   Also see what I wrote here, applying the...",You sound like a very successful ESTP. Your Ti must've been very well developed.,"Thank you so much for your feedback:) You may be right. I wish I could find examples of how ISFJs and ESFJs wold behave in different situations so I could compare myself to them. With my friend, I...",too much work. You can look at my picture on my profile if you are that curious.,"I will give you some (genuine)credit there, you have never defended pedophiles.   However I guess if you posted the same things as your original account, it would be too obvious.'","right but that does not overrule 1 Corinthians 4:16, ‘Because of this, I urge you, be imitators of me’. in other words be INFJ  here the HARDEST part.. Here's a preacher preaching  Christian...","Lol I was gonna post that then I read yours. I don't care too much what her type is, because she's gonna that type look bad anyways. This yolo persona that she's got going is stupid, especially her...","Well I'm an INFP but.. I also sort of noticed this as well.  I don't think I'd say people online find me Irresistable lol..  but in general, I notice that.. when I befriend guys online and get close...",I use to take it really seriously and the reactions were more devastating then they maybe should of been (probably has to do also with my personal story/history). Now I mostly walk away cos there's...,"Create the heavens.  Then go back and participate in the real world as an immortal being, constantly changing personas each lifetime. The heavens seem boring.","I think a lot of people don't understand that Ni isn't really terribly different from Ne except that Ni tends to be bottled up inside.  My boss is an INTJ, and although he tries to keep the rest of...","Making a necessary threat is quite arrogant in my opinion and I find it harmful. It is like feeling above the other and comes from a place of power instead of compassion. Now, I am not preaching...","At the moment, my room is extremely messy, and it's really starting to bother me >.< There are sticky-notes all over the walls with maths equations, and textbooks all over the floor because they...",Sounds like you need to take a sick day on Monday and Tuesday Starfish and doing something you'd actually find fun. Maybe sleep all day Monday and then go do something on Tuesday.
238,"To be honest, I could care less about acts of service. Although I think all displays of affection are filled with good intention.",So many thoughts. Somanythoughtssomanythoughtssomanythoughtssomanythoughts. somanythoughtssomanythoughtssomanythoughtssomanythoughtssomanythoughtssomanythoughts. somanythoughtssomanythoughts....,Blatantly rejecting an idea because it has some complexity and controversy is as shallow as accepting it without question.  If we take a simple definition of leadership: binding others to work...,"Ah, I figured. My ISTJ father never liked subjective things like the Arts either. ENTPs like it more because we're Ne dominant and we like to play around with ideas and be creative.",I am already considering it. But I'm still also considering ESFJ because when I hear a description of ISFJs being private and don't express themselves with ease that's not me. As I said I can open up...,I got that. No worries.,'INFP because both Si-Te and Fi-Ne are apparently very strong within me.,"Preacher been saying  1 John 2:6 Whoever claims to live in him must live as Jesus did. then Paul said  1 Corinthians 4:16, ‘Because of this, I urge you, be imitators of me’.  Wait a min, I am...",An ISTP is like Blake Griffin. Rose started crying when he was talking about his childhood in the ghetto. An ISTP would avoid talking about such things much less using it as a selling point in their...,I like tend to like and admire fictional characters too :crazy:  probably because they are made-up so they can be so incredible.,:laughing: At some point I actually felt that I am being arrogant to think that only I can take that thing where it's suppose to be. But with time I've seen that in most cases that's exactly how...,"As many questions as you wish.  1. Well, I already have plenty of NTP friends, so ENTJ + INFJ.  The both Ni high-ends create enough contrast to my personality for me to be pretty interested in...",I would say that the best way to answer this is to ask the following question:  Do you have a tendency to wear your heart on your sleeve (Fe) or do you dislike sharing your emotions with other...,"I am sure you are a good person but that is what I dont like about ESTJ behavior, the lying. My friend does this too and I cannot understand this and never will. Why not just be honest instead of...","I become a little awkward when I see people cry in general. I tend to feel like I should approach them - even if I barely know them - and ask if they're okay, if they want to talk about it, and if...",@AlltheTHINGS!
239,"Also, It seems that my type doesn't show up, I happen to be an INFJ.","My mind likes to jump to highly negative and outlandish conclusions. I believe none of it and rationalise the instant I think it. However, I am a worry wart by nature, so there will always be that...",You mean like this guy (or have I uncovered your secret identity?):   http://www.youtube.com/watch?v=M3iOROuTuMA,"Wow, that sucks that they made Philosophy just the history of philosophy. They should've mixed that in with critical thinking, instead of just the history of the subject.","What do you mean by this? I know every personality type has every cognitive function, but when I take the cognitive functions tests, Fe, Fi, Si  and Te are alway on top. Ti and Ne are always amongst...",I wasn't. I was just pointing out you are not as grossed out by me as you pretend.,http://www.funniestmemes.com/wp-content/uploads/Funniest_Memes_what-am-i-supposed-to-do-now_1677.jpeg,I want to focus on the New Testament   If we follow the bible our type would be?  Maybe a double standard but let see where this goes as I am typing while reading verse.  I Introversion...,I always thought some sort of ISFx.,mmm maybe  Arwen from The Lord of the Rings movie and Chikane from Kannazuki no Miko anime (pic of my avatar).. lol :proud:  ooh and Hinata from Naruto..,Why unfortunately? It's really not that much fun as it may look like :laughing:,I don't feel comfortable with changing things that have happened. It's more related to a certain appreciation for the stability of mind and thought. It'd essentially alter the memories of everyone...,"I talked my ENTP friend into taking a picture of dogshit with his iPhone.  To be fair, I didn't think he'd actually do it.",Love of my life is ESTJ. We are incredibly different but somehow the same in the middle somewhere. We no more have a relationship. There was huge attraction mutually.  A relationship with an ESFJ is...,"You know you're an ISTJ when...  ...you're preparing for a job interview 3 years in the future, writing out every potential question you could be asked and the best possible answers you can think...","1. I spend time with them, simple as that.  2. Most definitely short term with some plans made further out. Mostly short term.  3. Only twice a day? That's it? Really?  1b. Juicy Love?..."
